[64/100] 7.22 sec(s) Train Acc: 0.96162 | Val Acc: 0.92740 | Train Loss: 0.10551 | Val Loss: 0.31595
[65/100] 7.03 sec(s) Train Acc: 0.96053 | Val Acc: 0.92820 | Train Loss: 0.10811 | Val Loss: 0.32255
[66/100] 7.10 sec(s) Train Acc: 0.96102 | Val Acc: 0.92760 | Train Loss: 0.10774 | Val Loss: 0.31633
[67/100] 7.08 sec(s) Train Acc: 0.96102 | Val Acc: 0.92860 | Train Loss: 0.10817 | Val Loss: 0.31918
[68/100] 7.00 sec(s) Train Acc: 0.96127 | Val Acc: 0.92760 | Train Loss: 0.10459 | Val Loss: 0.31539
[69/100] 7.12 sec(s) Train Acc: 0.96036 | Val Acc: 0.92780 | Train Loss: 0.10957 | Val Loss: 0.31477
[70/100] 6.93 sec(s) Train Acc: 0.96104 | Val Acc: 0.92900 | Train Loss: 0.10796 | Val Loss: 0.31450
[71/100] 6.99 sec(s) Train Acc: 0.96114 | Val Acc: 0.92840 | Train Loss: 0.10752 | Val Loss: 0.31612
[72/100] 7.00 sec(s) Train Acc: 0.96162 | Val Acc: 0.92780 | Train Loss: 0.10573 | Val Loss: 0.31738
[73/100] 6.93 sec(s) Train Acc: 0.96127 | Val Acc: 0.92760 | Train Loss: 0.10723 | Val Loss: 0.31289
[74/100] 7.14 sec(s) Train Acc: 0.96230 | Val Acc: 0.92780 | Train Loss: 0.10333 | Val Loss: 0.31479
[75/100] 6.94 sec(s) Train Acc: 0.96141 | Val Acc: 0.92840 | Train Loss: 0.10580 | Val Loss: 0.31750
[76/100] 6.99 sec(s) Train Acc: 0.96246 | Val Acc: 0.92700 | Train Loss: 0.10349 | Val Loss: 0.31186
[77/100] 6.89 sec(s) Train Acc: 0.96108 | Val Acc: 0.92780 | Train Loss: 0.10701 | Val Loss: 0.32250
[78/100] 7.12 sec(s) Train Acc: 0.96119 | Val Acc: 0.92700 | Train Loss: 0.10679 | Val Loss: 0.32172
[79/100] 6.99 sec(s) Train Acc: 0.96182 | Val Acc: 0.92700 | Train Loss: 0.10501 | Val Loss: 0.31294
[80/100] 6.97 sec(s) Train Acc: 0.96129 | Val Acc: 0.92840 | Train Loss: 0.10777 | Val Loss: 0.31499
[81/100] 7.01 sec(s) Train Acc: 0.96121 | Val Acc: 0.92960 | Train Loss: 0.10541 | Val Loss: 0.31295
[82/100] 7.24 sec(s) Train Acc: 0.96180 | Val Acc: 0.92820 | Train Loss: 0.10641 | Val Loss: 0.31401
[83/100] 7.14 sec(s) Train Acc: 0.96119 | Val Acc: 0.92720 | Train Loss: 0.10757 | Val Loss: 0.31680
[84/100] 7.74 sec(s) Train Acc: 0.96174 | Val Acc: 0.92800 | Train Loss: 0.10408 | Val Loss: 0.31155
[85/100] 6.92 sec(s) Train Acc: 0.96172 | Val Acc: 0.92740 | Train Loss: 0.10686 | Val Loss: 0.31248
[86/100] 7.03 sec(s) Train Acc: 0.96081 | Val Acc: 0.92840 | Train Loss: 0.10754 | Val Loss: 0.31123
[87/100] 7.22 sec(s) Train Acc: 0.96129 | Val Acc: 0.92760 | Train Loss: 0.10631 | Val Loss: 0.31411
[88/100] 7.06 sec(s) Train Acc: 0.96032 | Val Acc: 0.92780 | Train Loss: 0.10835 | Val Loss: 0.31320
[89/100] 7.15 sec(s) Train Acc: 0.96182 | Val Acc: 0.92900 | Train Loss: 0.10603 | Val Loss: 0.31032
[90/100] 7.12 sec(s) Train Acc: 0.96203 | Val Acc: 0.92820 | Train Loss: 0.10621 | Val Loss: 0.31232
[91/100] 6.93 sec(s) Train Acc: 0.96001 | Val Acc: 0.92800 | Train Loss: 0.11058 | Val Loss: 0.31502
[92/100] 6.94 sec(s) Train Acc: 0.96098 | Val Acc: 0.92780 | Train Loss: 0.10659 | Val Loss: 0.31642
[93/100] 6.93 sec(s) Train Acc: 0.96240 | Val Acc: 0.92780 | Train Loss: 0.10520 | Val Loss: 0.31752
[94/100] 7.04 sec(s) Train Acc: 0.96053 | Val Acc: 0.92780 | Train Loss: 0.10716 | Val Loss: 0.31163
[95/100] 7.13 sec(s) Train Acc: 0.96281 | Val Acc: 0.92820 | Train Loss: 0.10234 | Val Loss: 0.31595
[96/100] 7.07 sec(s) Train Acc: 0.96079 | Val Acc: 0.92920 | Train Loss: 0.10871 | Val Loss: 0.31172
[97/100] 6.93 sec(s) Train Acc: 0.96211 | Val Acc: 0.92900 | Train Loss: 0.10381 | Val Loss: 0.30945
[98/100] 6.97 sec(s) Train Acc: 0.96186 | Val Acc: 0.92900 | Train Loss: 0.10426 | Val Loss: 0.31050
[99/100] 6.98 sec(s) Train Acc: 0.96193 | Val Acc: 0.92800 | Train Loss: 0.10274 | Val Loss: 0.31405
[100/100] 6.92 sec(s) Train Acc: 0.96022 | Val Acc: 0.92780 | Train Loss: 0.10964 | Val Loss: 0.30968
